child,parent,child_descriptor,parent_descriptor
R-HSA-447038,R-HSA-1266738,NrCAM interactions,Developmental Biology
R-HSA-447041,R-HSA-1266738,CHL1 interactions,Developmental Biology
R-HSA-447043,R-HSA-1266738,Neurofascin interactions,Developmental Biology
R-HSA-448424,R-HSA-168256,Interleukin-17 signaling,Immune System
R-HSA-448706,R-HSA-168256,Interleukin-1 processing,Immune System
R-HSA-449836,R-HSA-168256,Other interleukin signaling,Immune System
R-HSA-450302,R-HSA-168256,activated TAK1 mediates p38 MAPK activation,Immune System
R-HSA-450321,R-HSA-168256,JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,Immune System
R-HSA-450341,R-HSA-168256,Activation of the AP-1 family of transcription factors,Immune System
R-HSA-450385,R-HSA-8953854,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,Metabolism of RNA
R-HSA-450408,R-HSA-8953854,AUF1 (hnRNP D0) binds and destabilizes mRNA,Metabolism of RNA
R-HSA-450513,R-HSA-8953854,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",Metabolism of RNA
R-HSA-450520,R-HSA-8953854,HuR (ELAVL1) binds and stabilizes mRNA,Metabolism of RNA
R-HSA-450604,R-HSA-8953854,KSRP (KHSRP) binds and destabilizes mRNA,Metabolism of RNA
R-HSA-451307,R-HSA-112316,Activation of Na-permeable kainate receptors,Neuronal System
R-HSA-451308,R-HSA-112316,Activation of Ca-permeable Kainate Receptor,Neuronal System
R-HSA-451927,R-HSA-168256,Interleukin-2 family signaling,Immune System
R-HSA-452723,R-HSA-1266738,Transcriptional regulation of pluripotent stem cells,Developmental Biology
R-HSA-4549349,R-HSA-1643685,Defective ALG2 causes ALG2-CDG (CDG-1i),Disease
R-HSA-4549356,R-HSA-1643685,Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2,Disease
R-HSA-4549380,R-HSA-1643685,Defective ALG1 causes ALG1-CDG (CDG-1k),Disease
R-HSA-4551295,R-HSA-1643685,Defective ALG11 causes ALG11-CDG (CDG-1p),Disease
R-HSA-4551638,R-HSA-392499,SUMOylation of chromatin organization proteins,Metabolism of proteins
R-HSA-456926,R-HSA-109582,Thrombin signalling through proteinase activated receptors (PARs),Hemostasis
R-HSA-4570464,R-HSA-392499,SUMOylation of RNA binding proteins,Metabolism of proteins
R-HSA-4570571,R-HSA-1643685,Defective RFT1 causes RFT1-CDG (CDG-1n),Disease
R-HSA-4608870,R-HSA-162582,Asymmetric localization of PCP proteins,Signal Transduction
R-HSA-4615885,R-HSA-392499,SUMOylation of DNA replication proteins,Metabolism of proteins
R-HSA-4641257,R-HSA-162582,Degradation of AXIN,Signal Transduction
R-HSA-4641258,R-HSA-162582,Degradation of DVL,Signal Transduction
R-HSA-4641262,R-HSA-162582,Disassembly of the destruction complex and recruitment of AXIN to the membrane,Signal Transduction
R-HSA-4641263,R-HSA-162582,Regulation of FZD by ubiquitination,Signal Transduction
R-HSA-4641265,R-HSA-162582,Repression of WNT target genes,Signal Transduction
R-HSA-4655427,R-HSA-392499,SUMOylation of DNA methylation proteins,Metabolism of proteins
R-HSA-4687000,R-HSA-1643685,Defective MPDU1 causes MPDU1-CDG (CDG-1f),Disease
R-HSA-4717374,R-HSA-1643685,Defective DPM1 causes DPM1-CDG (CDG-1e),Disease
R-HSA-4719360,R-HSA-1643685,Defective DPM3 causes DPM3-CDG (CDG-1o),Disease
R-HSA-4719377,R-HSA-1643685,Defective DPM2 causes DPM2-CDG (CDG-1u),Disease
R-HSA-4720454,R-HSA-1643685,Defective ALG9 causes ALG9-CDG (CDG-1l),Disease
R-HSA-4720475,R-HSA-1643685,Defective ALG3 causes ALG3-CDG (CDG-1d),Disease
R-HSA-4720489,R-HSA-1643685,Defective ALG12 causes ALG12-CDG (CDG-1g),Disease
R-HSA-4724289,R-HSA-1643685,Defective ALG6 causes ALG6-CDG (CDG-1c),Disease
R-HSA-4724325,R-HSA-1643685,Defective ALG8 causes ALG8-CDG (CDG-1h),Disease
R-HSA-4755510,R-HSA-392499,SUMOylation of immune response proteins,Metabolism of proteins
R-HSA-4755579,R-HSA-1643685,Defective SRD5A3 causes SRD5A3-CDG (CDG-1q) and KHRZ,Disease
R-HSA-4755583,R-HSA-1643685,Defective DOLK causes DOLK-CDG (CDG-1m),Disease
R-HSA-4755609,R-HSA-1643685,Defective DHDDS causes retinitis pigmentosa 59,Disease
R-HSA-4793950,R-HSA-1643685,Defective MAN1B1 causes MRT15,Disease
R-HSA-4793952,R-HSA-1643685,Defective MGAT2 causes MGAT2-CDG (CDG-2a),Disease
R-HSA-4793953,R-HSA-1643685,Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),Disease
R-HSA-4793954,R-HSA-1643685,Defective MOGS causes MOGS-CDG (CDG-2b),Disease
R-HSA-480985,R-HSA-392499,Synthesis of dolichyl-phosphate-glucose,Metabolism of proteins
R-HSA-499943,R-HSA-1430728,Interconversion of nucleotide di- and triphosphates,Metabolism
R-HSA-500657,R-HSA-112316,Presynaptic function of Kainate receptors,Neuronal System
R-HSA-500753,R-HSA-1430728,Pyrimidine biosynthesis,Metabolism
R-HSA-5083625,R-HSA-1643685,Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC),Disease
R-HSA-5083627,R-HSA-1643685,Defective LARGE causes MDDGA6 and MDDGB6,Disease
R-HSA-5083628,R-HSA-1643685,"Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3",Disease
R-HSA-5083629,R-HSA-1643685,"Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2",Disease
R-HSA-5083630,R-HSA-1643685,Defective LFNG causes SCDO3,Disease
R-HSA-5083632,R-HSA-1643685,Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS),Disease
R-HSA-5083633,R-HSA-1643685,"Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1",Disease
R-HSA-5083635,R-HSA-1643685,Defective B3GALTL causes Peters-plus syndrome (PpS),Disease
R-HSA-5083636,R-HSA-1643685,Defective GALNT12 causes colorectal cancer 1 (CRCS1),Disease
R-HSA-5099900,R-HSA-162582,WNT5A-dependent internalization of FZD4,Signal Transduction
R-HSA-512988,R-HSA-168256,"Interleukin-3, Interleukin-5 and GM-CSF signaling",Immune System
R-HSA-5140745,R-HSA-162582,"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",Signal Transduction
R-HSA-5173105,R-HSA-392499,O-linked glycosylation,Metabolism of proteins
R-HSA-5173214,R-HSA-392499,O-glycosylation of TSR domain-containing proteins,Metabolism of proteins
R-HSA-5205685,R-HSA-9612973,PINK1-PRKN Mediated Mitophagy,Autophagy
R-HSA-5210891,R-HSA-1643685,Uptake and function of anthrax toxins,Disease
R-HSA-5213460,R-HSA-5357801,RIPK1-mediated regulated necrosis,Programmed Cell Death
R-HSA-5218900,R-HSA-5357801,CASP8 activity is inhibited,Programmed Cell Death
R-HSA-5218920,R-HSA-162582,VEGFR2 mediated vascular permeability,Signal Transduction
R-HSA-5218921,R-HSA-162582,VEGFR2 mediated cell proliferation,Signal Transduction
R-HSA-5221030,R-HSA-74160,"TET1,2,3 and TDG demethylate DNA",Gene expression (Transcription)
R-HSA-5223345,R-HSA-382551,Miscellaneous transport and binding events,Transport of small molecules
R-HSA-5250924,R-HSA-74160,B-WICH complex positively regulates rRNA expression,Gene expression (Transcription)
R-HSA-5250955,R-HSA-1643685,Toxicity of botulinum toxin type D (botD),Disease
R-HSA-5250958,R-HSA-1643685,Toxicity of botulinum toxin type B (botB),Disease
R-HSA-5250968,R-HSA-1643685,Toxicity of botulinum toxin type A (botA),Disease
R-HSA-5250971,R-HSA-1643685,Toxicity of botulinum toxin type C (botC),Disease
R-HSA-5250981,R-HSA-1643685,Toxicity of botulinum toxin type F (botF),Disease
R-HSA-5250982,R-HSA-1643685,Toxicity of tetanus toxin (tetX),Disease
R-HSA-5250989,R-HSA-1643685,Toxicity of botulinum toxin type G (botG),Disease
R-HSA-5250992,R-HSA-1643685,Toxicity of botulinum toxin type E (botE),Disease
R-HSA-525793,R-HSA-1266738,Myogenesis,Developmental Biology
R-HSA-5263617,R-HSA-1430728,Metabolism of ingested MeSeO2H into MeSeH,Metabolism
R-HSA-532668,R-HSA-392499,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,Metabolism of proteins
R-HSA-5334118,R-HSA-74160,DNA methylation,Gene expression (Transcription)
R-HSA-5336415,R-HSA-1643685,Uptake and function of diphtheria toxin,Disease
R-HSA-5339700,R-HSA-1643685,Signaling by TCF7L2 mutants,Disease
R-HSA-5339716,R-HSA-1643685,Signaling by GSK3beta mutants,Disease
R-HSA-5339717,R-HSA-1643685,Signaling by LRP5 mutants ,Disease
R-HSA-5340573,R-HSA-1643685,LGK974 inhibits PORCN,Disease
R-HSA-5340588,R-HSA-1643685,Signaling by RNF43 mutants,Disease
R-HSA-5357609,R-HSA-1643685,Glycogen storage disease type II (GAA),Disease
R-HSA-5357786,R-HSA-162582,TNFR1-induced proapoptotic signaling,Signal Transduction
R-HSA-5357905,R-HSA-162582,Regulation of TNFR1 signaling,Signal Transduction
R-HSA-5357956,R-HSA-162582,TNFR1-induced NFkappaB signaling pathway,Signal Transduction
R-HSA-5358346,R-HSA-162582,Hedgehog ligand biogenesis,Signal Transduction
R-HSA-5358493,R-HSA-392499,Synthesis of diphthamide-EEF2,Metabolism of proteins
R-HSA-5358565,R-HSA-73894,Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha),DNA Repair
R-HSA-5358606,R-HSA-73894,Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),DNA Repair
R-HSA-5358747,R-HSA-1643685,S33 mutants of beta-catenin aren't phosphorylated,Disease
R-HSA-5358749,R-HSA-1643685,S37 mutants of beta-catenin aren't phosphorylated,Disease
R-HSA-5358751,R-HSA-1643685,S45 mutants of beta-catenin aren't phosphorylated,Disease
R-HSA-5358752,R-HSA-1643685,T41 mutants of beta-catenin aren't phosphorylated,Disease
R-HSA-5362517,R-HSA-162582,Signaling by Retinoic Acid,Signal Transduction
R-HSA-5362768,R-HSA-1643685,Hh mutants are degraded by ERAD,Disease
R-HSA-5362798,R-HSA-162582,Release of Hh-Np from the secreting cell,Signal Transduction
R-HSA-5365859,R-HSA-162582,RA biosynthesis pathway,Signal Transduction
R-HSA-5368286,R-HSA-392499,Mitochondrial translation initiation,Metabolism of proteins
R-HSA-5368598,R-HSA-162582,Negative regulation of TCF-dependent signaling by DVL-interacting proteins,Signal Transduction
R-HSA-5389840,R-HSA-392499,Mitochondrial translation elongation,Metabolism of proteins
R-HSA-5419276,R-HSA-392499,Mitochondrial translation termination,Metabolism of proteins
R-HSA-5423646,R-HSA-1430728,Aflatoxin activation and detoxification,Metabolism
R-HSA-5467333,R-HSA-1643685,APC truncation mutants are not K63 polyubiquitinated,Disease
R-HSA-5467337,R-HSA-1643685,APC truncation mutants have impaired AXIN binding,Disease
R-HSA-5467340,R-HSA-1643685,AXIN missense mutants destabilize the destruction complex,Disease
R-HSA-5467348,R-HSA-1643685,Truncations of AMER1 destabilize the destruction complex,Disease
R-HSA-549127,R-HSA-382551,Organic cation transport,Transport of small molecules
R-HSA-5545483,R-HSA-1643685,Defective Mismatch Repair Associated With MLH1,Disease
R-HSA-5545619,R-HSA-1643685,XAV939 stabilizes AXIN,Disease
R-HSA-5576886,R-HSA-397014,Phase 4 - resting membrane potential,Muscle contraction
R-HSA-5576890,R-HSA-397014,Phase 3 - rapid repolarisation,Muscle contraction
R-HSA-5576892,R-HSA-397014,Phase 0 - rapid depolarisation,Muscle contraction
R-HSA-5576893,R-HSA-397014,Phase 2 - plateau phase,Muscle contraction
R-HSA-5576894,R-HSA-397014,Phase 1 - inactivation of fast Na+ channels,Muscle contraction
R-HSA-5578749,R-HSA-74160,Transcriptional regulation by small RNAs,Gene expression (Transcription)
R-HSA-5578768,R-HSA-397014,Physiological factors,Muscle contraction
R-HSA-5578775,R-HSA-397014,Ion homeostasis,Muscle contraction
R-HSA-5578995,R-HSA-1643685,Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency),Disease
R-HSA-5578996,R-HSA-1643685,Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX),Disease
R-HSA-5578997,R-HSA-1643685,Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD),Disease
R-HSA-5578998,R-HSA-1643685,Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD),Disease
R-HSA-5578999,R-HSA-1643685,Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD),Disease
R-HSA-5579000,R-HSA-1643685,Defective CYP1B1 causes Glaucoma,Disease
R-HSA-5579002,R-HSA-1643685,Defective UGT1A1 causes hyperbilirubinemia,Disease
R-HSA-5579004,R-HSA-1643685,Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4),Disease
R-HSA-5579005,R-HSA-1643685,"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)",Disease
R-HSA-5579006,R-HSA-1643685,Defective GSS causes Glutathione synthetase deficiency (GSS deficiency),Disease
R-HSA-5579007,R-HSA-1643685,Defective ACY1 causes encephalopathy,Disease
R-HSA-5579009,R-HSA-1643685,Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency),Disease
R-HSA-5579010,R-HSA-1643685,"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)",Disease
R-HSA-5579011,R-HSA-1643685,"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)",Disease
R-HSA-5579012,R-HSA-1643685,Defective MAOA causes Brunner syndrome (BRUNS),Disease
R-HSA-5579013,R-HSA-1643685,"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)",Disease
R-HSA-5579014,R-HSA-1643685,Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A),Disease
R-HSA-5579015,R-HSA-1643685,Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA),Disease
R-HSA-5579016,R-HSA-1643685,Defective UGT1A4 causes hyperbilirubinemia,Disease
R-HSA-5579017,R-HSA-1643685,Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4),Disease
R-HSA-5579019,R-HSA-1643685,Defective FMO3 causes Trimethylaminuria (TMAU),Disease
R-HSA-5579020,R-HSA-1643685,Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD),Disease
R-HSA-5579021,R-HSA-1643685,Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3),Disease
R-HSA-5579022,R-HSA-1643685,Defective GGT1 causes Glutathionuria (GLUTH),Disease
R-HSA-5579024,R-HSA-1643685,Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD),Disease
R-HSA-5579026,R-HSA-1643685,"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)",Disease
R-HSA-5579027,R-HSA-1643685,Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B),Disease
R-HSA-5579028,R-HSA-1643685,Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5),Disease
R-HSA-5579030,R-HSA-1643685,Defective CYP19A1 causes Aromatase excess syndrome (AEXS),Disease
R-HSA-5579031,R-HSA-1643685,Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD),Disease
R-HSA-5579032,R-HSA-1643685,Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD),Disease
R-HSA-5601884,R-HSA-74160,PIWI-interacting RNA (piRNA) biogenesis,Gene expression (Transcription)
R-HSA-5602410,R-HSA-1643685,TLR3 deficiency - HSE,Disease
R-HSA-5602415,R-HSA-1643685,UNC93B1 deficiency - HSE,Disease
R-HSA-5602498,R-HSA-1643685,MyD88 deficiency (TLR2/4),Disease
R-HSA-5602566,R-HSA-1643685,TICAM1 deficiency - HSE,Disease
R-HSA-5602571,R-HSA-1643685,TRAF3 deficiency - HSE,Disease
R-HSA-5602636,R-HSA-1643685,IKBKB deficiency causes SCID,Disease
R-HSA-5602680,R-HSA-1643685,MyD88 deficiency (TLR5),Disease
R-HSA-5603027,R-HSA-1643685,IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR),Disease
R-HSA-5603029,R-HSA-1643685,IkBA variant leads to EDA-ID,Disease
R-HSA-5603037,R-HSA-1643685,IRAK4 deficiency (TLR5),Disease
R-HSA-5603041,R-HSA-1643685,IRAK4 deficiency (TLR2/4),Disease
R-HSA-5607761,R-HSA-168256,Dectin-1 mediated noncanonical NF-kB signaling,Immune System
R-HSA-5607763,R-HSA-168256,CLEC7A (Dectin-1) induces NFAT activation,Immune System
R-HSA-5607764,R-HSA-168256,CLEC7A (Dectin-1) signaling,Immune System
R-HSA-5609974,R-HSA-1643685,Defective PGM1 causes PGM1-CDG (CDG1t),Disease
R-HSA-5609976,R-HSA-1643685,Defective GALK1 can cause Galactosemia II (GALCT2),Disease
R-HSA-5609977,R-HSA-1643685,Defective GALE can cause Epimerase-deficiency galactosemia (EDG),Disease
R-HSA-5609978,R-HSA-1643685,Defective GALT can cause Galactosemia,Disease
R-HSA-561048,R-HSA-382551,Organic anion transport,Transport of small molecules
R-HSA-5610780,R-HSA-162582,Degradation of GLI1 by the proteasome,Signal Transduction
R-HSA-5610783,R-HSA-162582,Degradation of GLI2 by the proteasome,Signal Transduction
R-HSA-5610785,R-HSA-162582,GLI3 is processed to GLI3R by the proteasome,Signal Transduction
R-HSA-5610787,R-HSA-162582,Hedgehog 'off' state,Signal Transduction
R-HSA-5617472,R-HSA-1266738,Activation of anterior HOX genes in hindbrain development during early embryogenesis,Developmental Biology
R-HSA-5617833,R-HSA-1852241,Cilium Assembly,Organelle biogenesis and maintenance
R-HSA-5619035,R-HSA-1643685,Defective SLC17A5 causes Salla disease (SD) and ISSD,Disease
R-HSA-5619036,R-HSA-1643685,Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6),Disease
R-HSA-5619037,R-HSA-1643685,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F),Disease
R-HSA-5619039,R-HSA-1643685,"Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)",Disease
R-HSA-5619040,R-HSA-1643685,Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1),Disease
R-HSA-5619041,R-HSA-1643685,Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG),Disease
R-HSA-5619042,R-HSA-1643685,Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN),Disease
R-HSA-5619043,R-HSA-1643685,Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1),Disease
R-HSA-5619044,R-HSA-1643685,Defective SLC6A19 causes Hartnup disorder (HND),Disease
R-HSA-5619045,R-HSA-1643685,Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM),Disease
R-HSA-5619046,R-HSA-1643685,Defective SLC26A4 causes Pendred syndrome (PDS),Disease
R-HSA-5619047,R-HSA-1643685,Defective SLC2A9 causes hypouricemia renal 2 (RHUC2),Disease
R-HSA-5619048,R-HSA-1643685,"Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)",Disease
R-HSA-5619049,R-HSA-1643685,Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages),Disease
R-HSA-5619050,R-HSA-1643685,"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)",Disease
R-HSA-5619052,R-HSA-1643685,Defective SLC9A9 causes autism 16 (AUTS16),Disease
R-HSA-5619053,R-HSA-1643685,Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP),Disease
R-HSA-5619054,R-HSA-1643685,"Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)",Disease
R-HSA-5619055,R-HSA-1643685,Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI),Disease
R-HSA-5619056,R-HSA-1643685,Defective HK1 causes hexokinase deficiency (HK deficiency),Disease
R-HSA-5619058,R-HSA-1643685,"Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)",Disease
R-HSA-5619060,R-HSA-1643685,Defective CP causes aceruloplasminemia (ACERULOP),Disease
R-HSA-5619061,R-HSA-1643685,Defective SLC33A1 causes spastic paraplegia 42 (SPG42),Disease
R-HSA-5619062,R-HSA-1643685,Defective SLC1A3 causes episodic ataxia 6 (EA6),Disease
R-HSA-5619063,R-HSA-1643685,Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS),Disease
R-HSA-5619066,R-HSA-1643685,Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1),Disease
R-HSA-5619067,R-HSA-1643685,Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA),Disease
R-HSA-5619068,R-HSA-1643685,Defective SLC2A10 causes arterial tortuosity syndrome (ATS),Disease
R-HSA-5619070,R-HSA-1643685,Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT),Disease
R-HSA-5619071,R-HSA-1643685,Defective SLC22A12 causes renal hypouricemia 1 (RHUC1),Disease
R-HSA-5619072,R-HSA-1643685,Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M),Disease
R-HSA-5619073,R-HSA-1643685,Defective GCK causes maturity-onset diabetes of the young 2 (MODY2),Disease
R-HSA-5619076,R-HSA-1643685,Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25),Disease
R-HSA-5619077,R-HSA-1643685,Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D),Disease
R-HSA-5619078,R-HSA-1643685,Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C),Disease
R-HSA-5619079,R-HSA-1643685,Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria,Disease
R-HSA-5619081,R-HSA-1643685,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS),Disease
R-HSA-5619083,R-HSA-1643685,"Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)",Disease
R-HSA-5619085,R-HSA-1643685,Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1),Disease
R-HSA-5619087,R-HSA-1643685,Defective SLC12A3 causes Gitelman syndrome (GS),Disease
R-HSA-5619088,R-HSA-1643685,"Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)",Disease
R-HSA-5619089,R-HSA-1643685,Defective SLC6A5 causes hyperekplexia 3 (HKPX3),Disease
R-HSA-5619092,R-HSA-1643685,"Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)",Disease
R-HSA-5619094,R-HSA-1643685,Variant SLC6A14 may confer susceptibility towards obesity,Disease
R-HSA-5619095,R-HSA-1643685,"Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)",Disease
R-HSA-5619096,R-HSA-1643685,Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1),Disease
R-HSA-5619097,R-HSA-1643685,Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH),Disease
R-HSA-5619098,R-HSA-1643685,Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS),Disease
R-HSA-5619099,R-HSA-1643685,"Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)",Disease
R-HSA-5619101,R-HSA-1643685,Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG),Disease
R-HSA-5619104,R-HSA-1643685,Defective SLC12A1 causes Bartter syndrome 1 (BS1),Disease
R-HSA-5619107,R-HSA-1643685,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),Disease
R-HSA-5619108,R-HSA-1643685,Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS),Disease
R-HSA-5619109,R-HSA-1643685,Defective SLC6A2 causes orthostatic intolerance (OI),Disease
R-HSA-5619110,R-HSA-1643685,"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)",Disease
R-HSA-5619111,R-HSA-1643685,Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1),Disease
R-HSA-5619113,R-HSA-1643685,Defective SLC3A1 causes cystinuria (CSNU),Disease
R-HSA-5619114,R-HSA-1643685,Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A),Disease
R-HSA-5620912,R-HSA-1852241,Anchoring of the basal body to the plasma membrane,Organelle biogenesis and maintenance
R-HSA-5620916,R-HSA-1852241,VxPx cargo-targeting to cilium,Organelle biogenesis and maintenance
R-HSA-5620922,R-HSA-1852241,BBSome-mediated cargo-targeting to cilium,Organelle biogenesis and maintenance
R-HSA-5620924,R-HSA-1852241,Intraflagellar transport,Organelle biogenesis and maintenance
R-HSA-5621480,R-HSA-168256,Dectin-2 family,Immune System
R-HSA-5621575,R-HSA-168256,CD209 (DC-SIGN) signaling,Immune System
R-HSA-5624138,R-HSA-1852241,Trafficking of myristoylated proteins to the cilium,Organelle biogenesis and maintenance
R-HSA-5624958,R-HSA-1852241,ARL13B-mediated ciliary trafficking of INPP5E,Organelle biogenesis and maintenance
R-HSA-5625740,R-HSA-162582,RHO GTPases activate PKNs,Signal Transduction
R-HSA-5625886,R-HSA-162582,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,Signal Transduction
R-HSA-5625900,R-HSA-162582,RHO GTPases activate CIT,Signal Transduction
R-HSA-5625970,R-HSA-162582,RHO GTPases activate KTN1,Signal Transduction
R-HSA-5626467,R-HSA-162582,RHO GTPases activate IQGAPs,Signal Transduction
R-HSA-5626978,R-HSA-162582,TNFR1-mediated ceramide production,Signal Transduction
R-HSA-5627083,R-HSA-162582,RHO GTPases regulate CFTR trafficking,Signal Transduction
R-HSA-5627117,R-HSA-162582,RHO GTPases Activate ROCKs,Signal Transduction
R-HSA-5627123,R-HSA-162582,RHO GTPases activate PAKs,Signal Transduction
R-HSA-5628897,R-HSA-74160,TP53 Regulates Metabolic Genes,Gene expression (Transcription)
R-HSA-5632681,R-HSA-162582,Ligand-receptor interactions,Signal Transduction
R-HSA-5632684,R-HSA-162582,Hedgehog 'on' state,Signal Transduction
R-HSA-5632927,R-HSA-1643685,Defective Mismatch Repair Associated With MSH3,Disease
R-HSA-5632928,R-HSA-1643685,Defective Mismatch Repair Associated With MSH2,Disease
R-HSA-5632968,R-HSA-1643685,Defective Mismatch Repair Associated With MSH6,Disease
R-HSA-5632987,R-HSA-1643685,Defective Mismatch Repair Associated With PMS2,Disease
R-HSA-5633231,R-HSA-1643685,Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS),Disease
R-HSA-5635838,R-HSA-162582,Activation of SMO,Signal Transduction
R-HSA-5635851,R-HSA-162582,GLI proteins bind promoters of Hh responsive genes to promote transcription,Signal Transduction
R-HSA-5637810,R-HSA-1643685,Constitutive Signaling by EGFRvIII,Disease
R-HSA-5638303,R-HSA-1643685,Inhibition of Signaling by Overexpressed EGFR,Disease
R-HSA-5649702,R-HSA-73894,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,DNA Repair
R-HSA-5651801,R-HSA-73894,PCNA-Dependent Long Patch Base Excision Repair,DNA Repair
R-HSA-5652227,R-HSA-1430728,Fructose biosynthesis,Metabolism
R-HSA-5653890,R-HSA-1430728,Lactose synthesis,Metabolism
